GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnitDemo,default,User,45,48,6,6,13,16,10,6,4,6
JUnitDemo,default,UserManager,5,64,1,1,1,15,1,6,0,6
